연도,작목군,작목명,지역,면적,생산량
2020,채소,가지,강원,157.0,5820.0
2020,채소,가지,경기,98.0,4743.0
2020,채소,가지,경남,81.0,6261.0
2020,채소,가지,경북,162.0,10067.0
2020,채소,가지,광주,10.0,431.0
2020,채소,가지,대구,7.0,320.0
2020,채소,가지,대전,2.0,60.0
2020,채소,가지,부산,1.0,18.0
2020,채소,가지,울산,2.0,50.0
2020,채소,가지,전국,624.0,32588.0
2020,채소,가지,전남,15.0,847.0
2020,채소,가지,전북,31.0,1287.0
2020,채소,가지,충남,42.0,1940.0
2020,채소,가지,충북,17.0,743.0
2021,채소,가지,강원,156.0,5797.0
2021,채소,가지,경기,98.0,4714.0
2021,채소,가지,경남,78.0,5894.0
2021,채소,가지,경북,170.0,10423.0
2021,채소,가지,광주,9.0,402.0
2021,채소,가지,대구,7.0,320.0
2021,채소,가지,대전,2.0,58.0
2021,채소,가지,부산,1.0,18.0
2021,채소,가지,서울,,
2021,채소,가지,세종,,
2021,채소,가지,울산,2.0,50.0
2021,채소,가지,인천,,
2021,채소,가지,전국,628.0,32533.0
2021,채소,가지,전남,15.0,838.0
2021,채소,가지,전북,30.0,1260.0
2021,채소,가지,제주,,
2021,채소,가지,충남,43.0,2002.0
2021,채소,가지,충북,17.0,756.0
2022,채소,가지,강원,173.0,5968.0
2022,채소,가지,경기,124.0,5949.0
2022,채소,가지,경남,86.0,6513.0
2022,채소,가지,경북,185.0,10000.0
2022,채소,가지,광주,10.0,447.0
2022,채소,가지,대구,7.0,320.0
2022,채소,가지,대전,2.0,57.0
2022,채소,가지,부산,1.0,18.0
2022,채소,가지,울산,2.0,50.0
2022,채소,가지,전국,694.0,34152.0
2022,채소,가지,전남,15.0,835.0
2022,채소,가지,전북,30.0,1210.0
2022,채소,가지,충남,43.0,2023.0
2022,채소,가지,충북,17.0,760.0
2023,채소,가지,강원,168.0,5757.0
2023,채소,가지,경기,147.0,6908.0
2023,채소,가지,경남,86.0,6425.0
2023,채소,가지,경북,172.0,10003.0
2023,채소,가지,광주,12.0,531.0
2023,채소,가지,대구,15.0,801.0
2023,채소,가지,대전,2.0,57.0
2023,채소,가지,부산,1.0,37.0
2023,채소,가지,울산,2.0,50.0
2023,채소,가지,인천,0.0,0.0
2023,채소,가지,전국,714.0,35727.0
2023,채소,가지,전남,16.0,849.0
2023,채소,가지,전북,29.0,1194.0
2023,채소,가지,충남,47.0,2355.0
2023,채소,가지,충북,17.0,760.0
2024,채소,가지,강원,167.0,5815.0
2024,채소,가지,경기,114.0,5480.0
2024,채소,가지,경남,95.0,7298.0
2024,채소,가지,경북,163.0,9059.0
2024,채소,가지,광주,10.0,434.0
2024,채소,가지,대구,15.0,798.0
2024,채소,가지,대전,2.0,57.0
2024,채소,가지,부산,1.0,18.0
2024,채소,가지,울산,2.0,50.0
2024,채소,가지,인천,0.0,0.0
2024,채소,가지,전국,666.0,33606.0
2024,채소,가지,전남,15.0,835.0
2024,채소,가지,전북,29.0,1194.0
2024,채소,가지,충남,37.0,1814.0
2024,채소,가지,충북,17.0,756.0
2020,특약용작물,갈근(칡),강원,0.0,0.0
2020,특약용작물,갈근(칡),경기,0.0,0.0
2020,특약용작물,갈근(칡),경남,3.0,10.0
2020,특약용작물,갈근(칡),경북,0.0,0.0
2020,특약용작물,갈근(칡),광주,0.0,0.0
2020,특약용작물,갈근(칡),대구,0.0,0.0
2020,특약용작물,갈근(칡),대전,0.0,0.0
2020,특약용작물,갈근(칡),부산,0.0,0.0
2020,특약용작물,갈근(칡),서울,0.0,0.0
2020,특약용작물,갈근(칡),세종,0.0,0.0
2020,특약용작물,갈근(칡),울산,0.0,0.0
2020,특약용작물,갈근(칡),인천,0.0,0.0
2020,특약용작물,갈근(칡),전남,0.0,0.0
2020,특약용작물,갈근(칡),전북,0.0,0.0
2020,특약용작물,갈근(칡),제주,0.0,0.0
2020,특약용작물,갈근(칡),충남,0.0,0.0
2020,특약용작물,갈근(칡),충북,0.0,0.0
2020,특약용작물,갈근(칡),전국,3.0,10.0
2021,특약용작물,갈근(칡),강원,0.0,0.0
2021,특약용작물,갈근(칡),경기,0.0,0.0
2021,특약용작물,갈근(칡),경남,3.0,10.0
2021,특약용작물,갈근(칡),경북,0.0,0.0
2021,특약용작물,갈근(칡),광주,0.0,0.0
2021,특약용작물,갈근(칡),대구,0.0,0.0
2021,특약용작물,갈근(칡),대전,0.0,0.0
2021,특약용작물,갈근(칡),부산,0.0,0.0
2021,특약용작물,갈근(칡),서울,0.0,0.0
2021,특약용작물,갈근(칡),세종,0.0,0.0
2021,특약용작물,갈근(칡),울산,0.0,0.0
2021,특약용작물,갈근(칡),인천,0.0,0.0
2021,특약용작물,갈근(칡),전남,0.0,0.0
2021,특약용작물,갈근(칡),전북,0.0,0.0
2021,특약용작물,갈근(칡),제주,0.0,0.0
2021,특약용작물,갈근(칡),충남,0.0,0.0
2021,특약용작물,갈근(칡),충북,0.0,0.0
2021,특약용작물,갈근(칡),전국,3.0,10.0
2022,특약용작물,갈근(칡),강원,0.0,0.0
2022,특약용작물,갈근(칡),경기,0.0,0.0
2022,특약용작물,갈근(칡),경남,3.0,10.0
2022,특약용작물,갈근(칡),경북,0.0,0.0
2022,특약용작물,갈근(칡),광주,0.0,0.0
2022,특약용작물,갈근(칡),대구,0.0,0.0
2022,특약용작물,갈근(칡),대전,0.0,0.0
2022,특약용작물,갈근(칡),부산,0.0,0.0
2022,특약용작물,갈근(칡),서울,0.0,0.0
2022,특약용작물,갈근(칡),세종,0.0,0.0
2022,특약용작물,갈근(칡),울산,0.0,0.0
2022,특약용작물,갈근(칡),인천,0.0,0.0
2022,특약용작물,갈근(칡),전남,0.0,0.0
2022,특약용작물,갈근(칡),전북,0.0,0.0
2022,특약용작물,갈근(칡),제주,0.0,0.0
2022,특약용작물,갈근(칡),충남,0.0,0.0
2022,특약용작물,갈근(칡),충북,0.0,0.0
2022,특약용작물,갈근(칡),전국,3.0,10.0
2023,특약용작물,갈근(칡),강원,0.0,0.0
2023,특약용작물,갈근(칡),경기,0.0,0.0
2023,특약용작물,갈근(칡),경남,3.0,10.0
2023,특약용작물,갈근(칡),경북,0.0,0.0
2023,특약용작물,갈근(칡),광주,0.0,0.0
2023,특약용작물,갈근(칡),대구,0.0,0.0
2023,특약용작물,갈근(칡),대전,0.0,0.0
2023,특약용작물,갈근(칡),부산,0.0,0.0
2023,특약용작물,갈근(칡),서울,0.0,0.0
2023,특약용작물,갈근(칡),세종,0.0,0.0
2023,특약용작물,갈근(칡),울산,0.0,0.0
2023,특약용작물,갈근(칡),인천,0.0,0.0
2023,특약용작물,갈근(칡),전남,14.0,10.0
2023,특약용작물,갈근(칡),전북,0.0,0.0
2023,특약용작물,갈근(칡),제주,0.0,0.0
2023,특약용작물,갈근(칡),충남,0.0,0.0
2023,특약용작물,갈근(칡),충북,0.0,0.0
2023,특약용작물,갈근(칡),전국,17.0,20.0
2024,특약용작물,갈근(칡),강원,0.0,0.0
2024,특약용작물,갈근(칡),경기,0.0,0.0
2024,특약용작물,갈근(칡),경남,3.0,10.0
2024,특약용작물,갈근(칡),경북,0.0,0.0
2024,특약용작물,갈근(칡),광주,0.0,0.0
2024,특약용작물,갈근(칡),대구,0.0,0.0
2024,특약용작물,갈근(칡),대전,0.0,0.0
2024,특약용작물,갈근(칡),부산,0.0,0.0
2024,특약용작물,갈근(칡),서울,0.0,0.0
2024,특약용작물,갈근(칡),세종,0.0,0.0
2024,특약용작물,갈근(칡),울산,0.0,0.0
2024,특약용작물,갈근(칡),인천,0.0,0.0
2024,특약용작물,갈근(칡),전국,17.0,21.0
2024,특약용작물,갈근(칡),전남,14.0,11.0
2024,특약용작물,갈근(칡),전북,0.0,0.0
2024,특약용작물,갈근(칡),제주,0.0,0.0
2024,특약용작물,갈근(칡),충남,0.0,0.0
2024,특약용작물,갈근(칡),충북,0.0,0.0
2020,과수,감,강원,272.0,1940.0
2020,과수,감,경기,46.0,518.0
2020,과수,감,경남,7076.0,76745.0
2020,과수,감,경북,5952.0,58195.0
2020,과수,감,전국,21982.0,198817.0
2020,과수,감,광주,273.0,2355.0
2020,과수,감,대구,194.0,1535.0
2020,과수,감,대전,45.0,117.0
2020,과수,감,부산,75.0,346.0
2020,과수,감,서울,1.0,8.0
2020,과수,감,세종,2.0,5.0
2020,과수,감,울산,329.0,3211.0
2020,과수,감,인천,11.0,63.0
2020,과수,감,전남,5204.0,36439.0
2020,과수,감,전북,1257.0,9432.0
2020,과수,감,제주,136.0,315.0
2020,과수,감,충남,441.0,4179.0
2020,과수,감,충북,669.0,3415.0
2021,과수,감,강원,265.0,1753.0
2021,과수,감,경기,34.0,323.0
2021,과수,감,경남,8010.0,88612.0
2021,과수,감,경북,5043.0,51863.0
2021,과수,감,전국,20882.0,200610.0
2021,과수,감,광주,277.0,2347.0
2021,과수,감,대구,123.0,473.0
2021,과수,감,대전,48.0,200.0
2021,과수,감,부산,25.0,116.0
2021,과수,감,서울,0.0,0.0
2021,과수,감,세종,8.0,64.0
2021,과수,감,울산,297.0,3032.0
2021,과수,감,인천,20.0,138.0
2021,과수,감,전남,4819.0,33119.0
2021,과수,감,전북,1020.0,9681.0
2021,과수,감,제주,27.0,124.0
2021,과수,감,충남,394.0,2751.0
2021,과수,감,충북,471.0,6014.0
2022,과수,감,강원,287.0,2343.0
2022,과수,감,경기,76.0,385.0
2022,과수,감,경남,8652.0,95317.0
2022,과수,감,경북,5233.0,56372.0
2022,과수,감,전국,22265.0,217853.0
2022,과수,감,광주,247.0,2066.0
2022,과수,감,대구,106.0,409.0
2022,과수,감,대전,47.0,214.0
2022,과수,감,부산,33.0,144.0
2022,과수,감,서울,0.0,0.0
2022,과수,감,세종,7.0,60.0
2022,과수,감,울산,321.0,3396.0
2022,과수,감,인천,21.0,118.0
2022,과수,감,전남,5213.0,37709.0
2022,과수,감,전북,1062.0,9798.0
2022,과수,감,제주,17.0,73.0
2022,과수,감,충남,395.0,2887.0
2022,과수,감,충북,547.0,6562.0
2023,과수,감,강원,263.0,2000.0
2023,과수,감,경기,54.0,313.0
2023,과수,감,경남,8592.0,73948.0
2023,과수,감,경북,5144.0,56721.0
2023,과수,감,전국,21794.0,186264.0
2023,과수,감,광주,206.0,1605.0
2023,과수,감,대구,121.0,322.0
2023,과수,감,대전,42.0,182.0
2023,과수,감,부산,32.0,179.0
2023,과수,감,서울,2.0,0.0
2023,과수,감,세종,8.0,69.0
2023,과수,감,울산,303.0,3222.0
2023,과수,감,인천,31.0,111.0
